id,kode_provinsi,nama_provinsi,nama_pos_hujan,nama_stasiun_hujan,bulan,jumlah_curah_hujan,satuan,tahun
1,32,JAWA BARAT,CIWULAN-CILAKI,BOJONGGAMBIR,JANUARI,745.0,MILIMETER,2015
2,32,JAWA BARAT,CIWULAN-CILAKI,BOJONGGAMBIR,FEBRUARI,419.0,MILIMETER,2015
3,32,JAWA BARAT,CIWULAN-CILAKI,BOJONGGAMBIR,MARET,536.0,MILIMETER,2015
4,32,JAWA BARAT,CIWULAN-CILAKI,BOJONGGAMBIR,APRIL,266.0,MILIMETER,2015
5,32,JAWA BARAT,CIWULAN-CILAKI,BOJONGGAMBIR,MEI,164.0,MILIMETER,2015
6,32,JAWA BARAT,CIWULAN-CILAKI,BOJONGGAMBIR,JUNI,0.0,MILIMETER,2015
7,32,JAWA BARAT,CIWULAN-CILAKI,BOJONGGAMBIR,JULI,0.0,MILIMETER,2015
8,32,JAWA BARAT,CIWULAN-CILAKI,BOJONGGAMBIR,AGUSTUS,0.0,MILIMETER,2015
9,32,JAWA BARAT,CIWULAN-CILAKI,BOJONGGAMBIR,SEPTEMBER,0.0,MILIMETER,2015
10,32,JAWA BARAT,CIWULAN-CILAKI,BOJONGGAMBIR,OKTOBER,0.0,MILIMETER,2015
11,32,JAWA BARAT,CIWULAN-CILAKI,BOJONGGAMBIR,NOVEMBER,581.0,MILIMETER,2015
12,32,JAWA BARAT,CIWULAN-CILAKI,BOJONGGAMBIR,DESEMBER,321.0,MILIMETER,2015
13,32,JAWA BARAT,CIWULAN-CILAKI,BUNGBULANG,JANUARI,384.0,MILIMETER,2015
14,32,JAWA BARAT,CIWULAN-CILAKI,BUNGBULANG,FEBRUARI,296.0,MILIMETER,2015
15,32,JAWA BARAT,CIWULAN-CILAKI,BUNGBULANG,MARET,337.0,MILIMETER,2015
16,32,JAWA BARAT,CIWULAN-CILAKI,BUNGBULANG,APRIL,328.0,MILIMETER,2015
17,32,JAWA BARAT,CIWULAN-CILAKI,BUNGBULANG,MEI,161.0,MILIMETER,2015
18,32,JAWA BARAT,CIWULAN-CILAKI,BUNGBULANG,JUNI,0.0,MILIMETER,2015
19,32,JAWA BARAT,CIWULAN-CILAKI,BUNGBULANG,JULI,5.0,MILIMETER,2015
20,32,JAWA BARAT,CIWULAN-CILAKI,BUNGBULANG,AGUSTUS,0.0,MILIMETER,2015
21,32,JAWA BARAT,CIWULAN-CILAKI,BUNGBULANG,SEPTEMBER,0.0,MILIMETER,2015
22,32,JAWA BARAT,CIWULAN-CILAKI,BUNGBULANG,OKTOBER,0.0,MILIMETER,2015
23,32,JAWA BARAT,CIWULAN-CILAKI,BUNGBULANG,NOVEMBER,970.0,MILIMETER,2015
24,32,JAWA BARAT,CIWULAN-CILAKI,BUNGBULANG,DESEMBER,171.0,MILIMETER,2015
25,32,JAWA BARAT,CIWULAN-CILAKI,CACABAN,JANUARI,361.0,MILIMETER,2015
26,32,JAWA BARAT,CIWULAN-CILAKI,CACABAN,FEBRUARI,339.0,MILIMETER,2015
27,32,JAWA BARAT,CIWULAN-CILAKI,CACABAN,MARET,276.0,MILIMETER,2015
28,32,JAWA BARAT,CIWULAN-CILAKI,CACABAN,APRIL,224.0,MILIMETER,2015
29,32,JAWA BARAT,CIWULAN-CILAKI,CACABAN,MEI,54.0,MILIMETER,2015
30,32,JAWA BARAT,CIWULAN-CILAKI,CACABAN,JUNI,84.0,MILIMETER,2015
31,32,JAWA BARAT,CIWULAN-CILAKI,CACABAN,JULI,3.0,MILIMETER,2015
32,32,JAWA BARAT,CIWULAN-CILAKI,CACABAN,AGUSTUS,4.0,MILIMETER,2015
33,32,JAWA BARAT,CIWULAN-CILAKI,CACABAN,SEPTEMBER,1.0,MILIMETER,2015
